Neigh #,Neighborhood Name,Assessors Neigh,Vacant Land Sq. Ft. Price,Vacant Vandalized Residential Buildings per Unit,Residential New Construction,Side Lots
51,Academy,238,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
74,Baden,331,$0.40 ,"$1,000.00 ",$25.00 ,$9.40 
74,Baden,332,$1.70 ,"$1,000.00 ",$106.25 ,$39.85 
74,Baden,333,$1.70 ,"$1,000.00 ",$106.25 ,$39.85 
74,Baden,334,$1.60 ,"$1,000.00 ",$100.00 ,$37.50 
74,Baden,335,$1.10 ,"$1,000.00 ",$68.75 ,$25.80 
74,Baden,336,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
74,Baden,339,$0.40 ,"$1,000.00 ",$25.00 ,$9.40 
22,Benton Park,146,$2.80 ,"$1,500.00 ",$175.00 ,$65.65 
23,Benton Park,247,$3.90 ,"$1,500.00 ",$243.75 ,$91.45 
30,Benton Park West,140,$2.00 ,"$1,500.00 ",$125.00 ,$46.90 
31,Benton Park West,142,$2.00 ,"$1,500.00 ",$125.00 ,$46.90 
32,Benton Park West,143,$2.00 ,"$1,500.00 ",$125.00 ,$46.90 
33,Benton Park West,244,$2.00 ,"$1,500.00 ",$125.00 ,$46.90 
34,Benton Park West,246,$2.00 ,"$1,500.00 ",$125.00 ,$46.90 
5,Bevo Mill,112,$3.90 ,"$1,500.00 ",$243.75 ,$91.45 
6,Bevo Mill,114,$2.30 ,"$1,500.00 ",$143.75 ,$53.95 
7,Bevo Mill,118,$2.50 ,"$1,500.00 ",$156.25 ,$58.60 
28,Botanical Heights f/k/a McRee Town,220,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
29,Botanical Heights f/k/a McRee Town,221,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
30,Botanical Heights f/k/a McRee Town,222,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
4,Boulevard Heights,122,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
5,Boulevard Heights,123,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
6,Boulevard Heights,106,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
1,Carondelet,101,$1.40 ,"$1,000.00 ",$87.50 ,$32.85 
2,Carondelet,102,$1.40 ,"$1,000.00 ",$87.50 ,$32.85 
3,Carondelet,103,$1.40 ,"$1,000.00 ",$87.50 ,$32.85 
4,Carondelet,104,$1.40 ,"$1,000.00 ",$87.50 ,$32.85 
5,Carondelet,105,$1.40 ,"$1,000.00 ",$87.50 ,$32.85 
6,Carondelet,108,$1.40 ,"$1,000.00 ",$87.50 ,$32.85 
7,Carondelet,110,$1.40 ,"$1,000.00 ",$87.50 ,$32.85 
8,Carondelet,136,$1.40 ,"$1,000.00 ",$87.50 ,$32.85 
61,Carr Square,258,$0.90 ,"$1,000.00 ",$56.25 ,$21.10 
62,Carr Square,259,$2.20 ,"$1,500.00 ",$137.50 ,$51.60 
